0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 82ms
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 146ms
-3 , -2 , -2 , 2 , 0 , -6 , -1 , -2 , 209ms
-1 , -1 , -2 , -2 , 1 , 8 , 1 , -1 , 273ms
-1 , 1 , 0 , 5 , 1 , -11 , 0 , -1 , 337ms
4 , 1 , 1 , -2 , -3 , 0 , -3 , -1 , 403ms
-3 , -3 , -1 , 0 , -8 , -3 , 1 , -1 , 471ms
-2 , -1 , -3 , 2 , 8 , -1 , 0 , 0 , 546ms
0 , 1 , -2 , 2 , -9 , -7 , 0 , 1 , 626ms
-4 , 0 , -1 , -2 , 1 , 1 , -1 , -2 , 722ms
-7 , -6 , 5 , 4 , -1 , -3 , -5 , -5 , 857ms
1 , 3 , 6 , 0 , -1 , -2 , 1 , 1 , 927ms
0 , -3 , -1 , 1 , 2 , -1 , -2 , -3 , 992ms
-2 , -4 , -2 , 0 , -1 , 1 , -1 , -2 , 1063ms
2 , 1 , 1 , 3 , 3 , -2 , -1 , -1 , 1137ms
1 , 6 , 11 , 8 , -1 , 6 , 3 , 1 , 1198ms
-8 , -14 , -13 , -13 , -10 , -14 , -6 , -5 , 1265ms
-8 , -8 , -5 , -16 , 6 , -2 , -38 , -12 , 1341ms
-12 , -13 , -6 , 2 , -2 , 3 , -30 , -15 , 1419ms
-2 , -3 , -14 , 0 , -6 , 3 , 5 , 0 , 1498ms
-6 , -8 , -3 , -2 , 1 , -7 , 5 , -3 , 1576ms
1 , 1 , -8 , -2 , -3 , -1 , -2 , -1 , 1651ms
-1 , -1 , -1 , -1 , -2 , -2 , -4 , 0 , 1731ms
0 , -5 , -2 , -3 , 0 , -3 , -3 , -2 , 1809ms
-4 , -12 , -11 , -7 , 1 , 4 , -2 , -3 , 1888ms
21 , 17 , -11 , 17 , -6 , 0 , -17 , 36 , 1958ms
-5 , -1 , -6 , -5 , 15 , 5 , 55 , 25 , 2026ms
-17 , -7 , 1 , -5 , -3 , -21 , -57 , -18 , 2089ms
-5 , -3 , -1 , -6 , 4 , 3 , 2 , -2 , 2158ms
0 , 1 , 3 , 3 , 0 , -5 , -2 , -1 , 2228ms
0 , 2 , 1 , 0 , 0 , -3 , 0 , 0 , 2300ms
-3 , 1 , 5 , 0 , 2 , -2 , -2 , -3 , 2377ms
-2 , -8 , -10 , -6 , -1 , 0 , -2 , -2 , 2461ms
-1 , 1 , 1 , 3 , -3 , -1 , 0 , -2 , 2539ms
-1 , 1 , 4 , 1 , -1 , -2 , -1 , -1 , 2620ms
-1 , -3 , -2 , -1 , -1 , 1 , -1 , -2 , 2699ms
-3 , -2 , -6 , -3 , -1 , -4 , -2 , -1 , 2780ms
-2 , -2 , 1 , 1 , 1 , -3 , -1 , 0 , 2860ms
-1 , 0 , -3 , 1 , 0 , -2 , -1 , -1 , 2937ms
-5 , -7 , 4 , 3 , -3 , 1 , -5 , -3 , 3018ms
-2 , -2 , -2 , -17 , -5 , -6 , -5 , -2 , 3092ms
5 , 4 , -2 , -3 , -6 , -3 , 5 , 8 , 3160ms
-26 , -4 , 1 , 14 , 8 , -1 , 6 , 8 , 3226ms
1 , 0 , -2 , -10 , -9 , 1 , 0 , -1 , 3298ms
1 , -1 , -2 , -14 , 0 , -1 , -2 , 1 , 3376ms
-5 , 0 , -2 , -9 , 14 , 2 , -4 , -1 , 3445ms
-3 , -3 , -2 , -16 , -19 , 10 , 4 , -1 , 3519ms
-6 , -13 , -5 , -5 , -13 , -1 , 0 , -4 , 3591ms
0 , -1 , -2 , -5 , -2 , -4 , 0 , -1 , 3666ms
-1 , 2 , -2 , 5 , 2 , 0 , -2 , -1 , 3749ms
0 , -1 , -2 , 6 , 6 , -5 , -1 , -3 , 3820ms
-2 , -2 , -3 , 10 , 0 , 0 , -2 , 0 , 3901ms
0 , -1 , -3 , -4 , -7 , -2 , -1 , -1 , 3981ms
1 , 0 , -1 , -1 , 5 , 2 , -1 , -1 , 4062ms
-2 , -2 , 2 , -9 , -9 , -2 , -2 , -1 , 4141ms
-7 , -1 , -4 , 3 , 4 , 1 , 4 , 28 , 4220ms
5 , 1 , 1 , -3 , -11 , -9 , -1 , 3 , 4301ms
-3 , 0 , 0 , -3 , -11 , -4 , 0 , 2 , 4387ms
-1 , -3 , 1 , -6 , -7 , -2 , -1 , -1 , 4460ms
